#Chinese	#English	#Sentences
七誡運動歌	Song of Encouragement
 	 	At last week's board meeting, the Deputy Treasurer proposed a new budget plan.
 	 	副財務長的主要責任是協助財務長管理財務報告和資金分配。
 	 	The primary responsibility of the Deputy Treasurer is to assist the Treasurer in managing financial reports and fund allocation.
 	 	國際佛光會的副財務長正在推動一項新的籌款活動。
 	 	The Deputy Treasurer of the Buddha's Light International Association is initiating a new fundraising campaign.
 	 	副財務長强調準時提交財務報告對於組織運營的關鍵性。
 	 	The Deputy Treasurer emphasized the importance of promptly submitting financial reports for effective organizational operations.
創會總會長	Founding President
 	 	國際佛光會的創會總會長在開幕典禮上分享了創會精神與願景。
 	 	The Founding President of BLIA shared the founding spirit and vision at the opening ceremony.
 	 	作為創會總會長，他致力於推廣佛教，致力於各地的社區服務。
 	 	As the Founding President, he dedicated himself to promoting Buddhism and community service in various regions.
 	 	創會總會長在離職後仍活躍於國際佛光會的各種活動中。
 	 	Even after stepping down, the Founding President remained active in various BLIA events.
 	 	許多人感激創會總會長的遠見，為國際佛光會打下了堅實的基礎。
 	 	Many people are grateful for the Founding President's vision, which laid a solid foundation for BLIA.
功德主會	Patrons Conference
 	 	國際佛光會的功德主會是為了表彰那些在寺廟建設中作出重大貢獻的捐贈者。
 	 	The Patrons Conference of BLIA is to honor those donors who have made significant contributions to the construction of the temple.
 	 	在每年的功德主會上，主辦方會頒發獎狀以感謝慈善家的無私奉獻。
 	 	At the annual Patrons Conference, the organizers present certificates of appreciation to philanthropists for their selfless contributions.
 	 	功德主會的參加者來自世界各地，表明國際佛光會的影響力日益擴大。
 	 	Participants of the Patrons Conference come from all over the world, indicating the growing influence of the BLIA.
 	 	身為功德主會的成員，他感到非常榮幸能夠為佛教文化的弘揚貢獻一己之力。
 	 	As a member of the Patrons Conference, he feels honored to contribute to the promotion of Buddhist culture.
化世與益人	Change the World and Benefit Humanity
 	 	國際佛光會會長強調，化世與益人是我們每個成員應該秉持的宗旨。
 	 	The BLIA president emphasized that to change the world and benefit humanity is the principle every member should uphold.
 	 	這場大型社區活動旨在化世與益人，期望吸引更多市民參與。
 	 	The large community event aims to change the world and benefit humanity, hoping to attract more public participation.
 	 	理事會討論了如何透過教育計劃實現化世與益人的目標。
 	 	The council discussed how to achieve the goal of changing the world and benefiting humanity through educational programs.
 	 	她一直認為自己的工作不僅是職業，更是一種化世與益人的使命。
 	 	She has always believed her work is not just a career, but a mission to change the world and benefit humanity.
北美洲線上聯誼會	BLIA North America Online Fellowship Meeting
 	 	我們參加了由國際佛光會舉辦的北美洲線上聯誼會，見到了許多來自不同地區的會員。
 	 	We attended the BLIA North America Online Fellowship Meeting hosted by BLIA and met many members from different regions.
 	 	北美洲線上聯誼會為我們提供了分享修行心得的寶貴平台。
 	 	The BLIA North America Online Fellowship Meeting provided us with a valuable platform to share our cultivation experiences.
 	 	在北美洲線上聯誼會中，理事會成員討論了未來的活動計畫。
 	 	During the BLIA North America Online Fellowship Meeting, council members discussed future activity plans.
 	 	因疫情影響，今年的北美洲聯誼會首次以線上方式舉行，使更多人能夠參與。
 	 	Due to the pandemic, this year's BLIA North America Fellowship Meeting was held online for the first time, allowing more people to participate.
協會	Chapter
 	 	這個協會的會長正在努力推動新的社會公益活動。
 	 	The president of the chapter is actively promoting new social welfare activities.
 	 	國際佛光會的協會每年都會舉辦多次社區服務活動。
 	 	The chapter of BLIA organizes multiple community service events every year.
 	 	協會的理事會決定將會議地點改到新的場所，以便參加者更方便。
 	 	The council of the chapter decided to change the venue for the meeting to make it more convenient for participants.
 	 	他加入了當地的協會，希望能通過這個平台貢獻他的時間和技能。
 	 	He joined the local chapter, hoping to contribute his time and skills through this platform.
同體與共生	Oneness and Coexistence
 	 	國際佛光會的成員深信同體與共生的價值，積極參與社區活動促進和諧。
 	 	Members of BLIA steadfastly believe in the values of oneness and coexistence, actively participating in community activities to foster harmony.
 	 	理事會會長在演講中提到，只有透過同體與共生，我們才能面對現代社會的挑戰。
 	 	The president of the council mentioned in the speech that only through oneness and coexistence can we face the challenges of modern society.
 	 	佛教教義強調同體與共生的重要性，提醒我們珍視地球和所有生命。
 	 	Buddhist teachings emphasize the importance of oneness and coexistence, reminding us to cherish the Earth and all living beings.
 	 	行政文書組成員合作無間，體現了同體與共生的理想，確保活動有序進行。
 	 	Members of the administrative documentation team worked seamlessly together, embodying the ideals of oneness and coexistence, ensuring the orderly conduct of events.
問病喪葬儀禮	Patients Visit and Funeral Rites
 	 	國際佛光會的成員定期參與問病喪葬儀禮，以提供支持和關懷。
 	 	Members of the BLIA regularly participate in patients visit and funeral rites to offer support and compassion.
 	 	她在問病喪葬儀禮中表現出深厚的同情心，為眾人樹立了榜樣。
 	 	She demonstrated profound empathy during the patients visit and funeral rites, setting an example for others.
 	 	問病喪葬儀禮是國際佛光會慈悲活動的重要組成部分。
 	 	Patients visit and funeral rites are an integral part of the compassionate activities of the BLIA.
 	 	在問病喪葬儀禮期間，志工們提供精神上的支持與慰藉。
 	 	During the patients visit and funeral rites, volunteers provide spiritual support and solace.
國定佛誕節暨母親節慶祝大會	National Buddha’s Day and Mother’s Day Celebration
 	 	國際佛光會每年都會舉辦國定佛誕節暨母親節慶祝大會，吸引了成千上萬的信眾參加。
 	 	The BLIA holds the National Buddha’s Day and Mother’s Day Celebration every year, attracting thousands of devotees.
 	 	在國定佛誕節暨母親節慶祝大會上，會長發表了感人至深的演講，慶祝這兩個重要的節日。
 	 	During the National Buddha’s Day and Mother’s Day Celebration, the president gave a touching speech in honor of these two significant occasions.
 	 	今年的國定佛誕節暨母親節慶祝大會將包括特別的法會和母親節特別活動。
 	 	This year's National Buddha’s Day and Mother’s Day Celebration will include special ceremonies and exclusive Mother's Day activities.
 	 	理事會決定在國定佛誕節暨母親節慶祝大會上推出新的社區服務計劃。
 	 	The council decided to launch a new community service initiative during the National Buddha’s Day and Mother’s Day Celebration.
國定佛誕節浴佛大會	National Buddha’s Birthday Bathing the Buddha Celebration
 	 	今年，我們的國定佛誕節浴佛大會在盛大的儀式中舉行，吸引了全國各地的佛教信徒參與。
 	 	This year, our National Buddha’s Birthday Bathing the Buddha Celebration was held with grand ceremonies, attracting Buddhist followers from all over the country.
 	 	國際佛光會的和尚們在國定佛誕節浴佛大會中主持儀式，引導民眾以虔誠心浴佛。
 	 	Monks from the BLIA led the ceremonies at the National Buddha’s Birthday Bathing the Buddha Celebration, guiding the public to bathe the Buddha with devotion.
